x, y, ul, ur, rho, alpha
0.0, 0.0, 50.0, 50.0, 0.5, 0.0
2.373647782712288e-05, 0.0, 49.99762635221729, 49.99762635221729, 0.4999762635221729, 0.0
0.001845511151058804, 0.0, 48.993149474454505, 50.63774829533373, 0.4981544888489412, 0.010278742630495179
0.006515511441806629, -2.9521198893208717e-05, 46.95306077928692, 51.743837108953294, 0.49348448944120105, 0.029942352060414804
0.012738754184128249, -0.00015921696192119168, 45.198855990123576, 52.253398375607006, 0.4872612718286529, 0.04409088990927139
0.019907948617644236, -0.00042658596121877433, 44.140303628599824, 51.87814455217443, 0.4800922409038713, 0.04836150577234133
0.027958050212237615, -0.0007948459291043854, 43.542991929286885, 50.865531867981204, 0.4720426189863405, 0.04576587461683954
0.03654757874286343, -0.0011881164026761222, 42.96131261520674, 49.7294762237472, 0.4634539441947697, 0.0423010225533779
0.04515632429118163, -0.0015493501260495292, 42.219634001363815, 48.74962889949117, 0.45484631450427493, 0.04081246811329595
0.0536476565031041, -0.0018770522640251892, 41.35757801255819, 47.91368004295995, 0.4463562902775907, 0.040975637690010995
0.06213354141102648, -0.0021919213539770077, 40.5213928305962, 47.052996137062905, 0.4378719448382955, 0.04082252066541689
0.07054850940998737, -0.002497500959448353, 39.742463443351724, 46.14928709906677, 0.42945875271209244, 0.040042647848218996
0.07878001095287569, -0.002785986658299871, 38.90649241506717, 45.33934805068396, 0.42122920232875566, 0.04020534772260496
0.08678646526777886, -0.0030576214078104854, 38.04321787484979, 44.60175156299803, 0.41322484718923913, 0.040990835550926565
0.09463287636361083, -0.0033212921676845277, 37.220747632723764, 43.8553982813249, 0.40538072957024335, 0.04146656655375713
0.10237850519964702, -0.003580353130012842, 36.46632351873417, 43.06119927829572, 0.3976376139851494, 0.04121797349725965
0.11002348329126072, -0.0038307889338773694, 35.76376463556611, 42.235301648111296, 0.38999533141838705, 0.040447106328407395
0.11746118998967921, -0.004064683603870684, 35.02390365118653, 41.48817717711455, 0.3825604041415054, 0.04040170953705011
0.12469158187519269, -0.004283128569058276, 34.280603638985575, 40.785967857435985, 0.3753328574821078, 0.04065852636531502
0.13178569736741996, -0.0044925735702616735, 33.559266617451755, 40.08907508295083, 0.36824170850201293, 0.040811302909369254
0.13873164294283757, -0.0046935847227968916, 32.844097962547494, 39.415671078968685, 0.3612988452075809, 0.04107233197763247
0.14548788852227923, -0.004885184856453815, 32.14814334704508, 38.761010424657385, 0.3545457688585123, 0.04133041923507693
0.15203068945464546, -0.005067248015451389, 31.440091209842404, 38.1611496077923, 0.3480062040881735, 0.04200661498718684
0.15840152417325012, -0.0052424842506990895, 30.68972489522398, 37.63801539472779, 0.34163870144975883, 0.0434268156218988
0.16462401673568672, -0.005415267982726472, 29.927549816490355, 37.156390222189444, 0.335419700193399, 0.045180252535619296
0.17070994118655386, -0.005589077140288999, 29.236291600692024, 36.6312058822526, 0.32933748741472313, 0.04621821425975362
0.17663560984625606, -0.005761796376425896, 28.63586318166405, 36.04728056289622, 0.32341571872280134, 0.04632135863270108
0.1824367583853805, -0.005929373654547511, 28.038781397782774, 35.484936974718195, 0.31761859186250485, 0.04653847235584639
0.18814311295807948, -0.006090276764566462, 27.450837950918586, 34.932432071274434, 0.31191635011096513, 0.04675996325222406
0.19374279496787347, -0.006244613029094028, 26.890253719213483, 34.37391878836981, 0.30632086253791646, 0.04677290668222702
0.1991942895306316, -0.006390837662442419, 26.370355628243477, 33.804362736534664, 0.30087359182389073, 0.04646254442681993
0.2045450824581575, -0.006528940793382521, 25.937103952001003, 33.16830540028771, 0.29552704676144353, 0.045195009051791926
0.20982490294087083, -0.006656590796068651, 25.511764670990488, 32.538522892225366, 0.29025143781607926, 0.043917238882717965
0.21497446297629805, -0.006770186186596394, 25.101755722924274, 31.919430577134705, 0.2851059315002949, 0.04261046783881521
0.22001152698531384, -0.006870590300965361, 24.69667026977262, 31.31788142250797, 0.28007275846140295, 0.041382569704595945
0.22494199052888778, -0.0069587004903437066, 24.20255963547322, 30.826644279075566, 0.2751460195727439, 0.041400529022514676
0.2297657741174257, -0.007038208328851847, 23.72025941720773, 30.344913555727267, 0.27032586486467497, 0.04140408836574714
0.23452434823102222, -0.007113104299802565, 23.28661801646123, 29.82756763481029, 0.2655709282563576, 0.04088093511468164
0.239229593276047, -0.007182433296253282, 22.900668282496284, 29.273191981444704, 0.2608693013197049, 0.03982827311842764
0.24380439817013827, -0.007242882243697944, 22.52947187186403, 28.73012068998185, 0.2562979628092294, 0.03875405511323639
0.24824876316151412, -0.007293538655198926, 22.122634100104456, 28.248739101674467, 0.2518568660088946, 0.03828815625981256
0.25261012583623366, -0.007336782968719953, 21.742219902699816, 27.757508671543597, 0.24749864287121706, 0.03759555480527363
0.2568647294899476, -0.0073735645461492335, 21.356740320889514, 27.29267045462249, 0.24324705387756002, 0.037099563335831094
0.26101256556817726, -0.007404143653546119, 20.9323364791332, 26.88808391197049, 0.23910210195551843, 0.03722342145523305
0.26504768086666664, -0.00743045632974824, 20.49458424879126, 26.5193728054283, 0.2350697852710978, 0.03765492847898151
0.26895225765410635, -0.0074544619109906795, 20.087295588188933, 26.14629749974524, 0.23116796543967086, 0.037868761947226916
0.2727559635019776, -0.007476637030070074, 20, 25.774770321432495, 0.22736699898004975, 0.03797588029284401
0.27652407526306755, -0.007496803106732437, 20, 25.441299706460992, 0.22360163459565366, 0.03851420308619532
0.28026252315166506, -0.007515621645203698, 20, 25.188001110826352, 0.21986596667148464, 0.040017555545973596
