x, y, ul, ur, rho, alpha, theta
0.0,0.0,40.0,40.0,0.5,0.0,0.0
6.185010536754906e-05,0.0,34.9950519915706,44.9950519915706,0.4999381498946325,0.0003298672286269283,-0.0003298672286269283
0.0021235201754832523,-6.59675093451216e-07,34.83011838599631,44.83011838599631,0.4978764798249538,0.0038497759780669605,-0.0038484510006474943
0.006851596806683484,-1.1818964120091213e-05,34.45187226679562,44.45187226679562,0.4931484033349452,0.005411797744589846,-0.005387831400906492
0.012459277696175813,-3.7832580416245034e-05,34.00325790173647,44.00325790173647,0.4875407237717058,0.0004074660395765715,-0.0003298672286269266
0.01847244042067709,-5.438030045142229e-05,43.52220501199882,33.52220501199882,0.48152756264998525,-0.00670432316558534,0.00681725605828985
0.025227762044973016,-3.072437615416268e-05,42.98177911593396,32.98177911593396,0.4747722389491745,-0.009941258674340956,0.010005972601683488
0.032622012728577836,3.171573392455141e-05,42.3902390678015,32.3902390678015,0.4673779883475188,-0.003916309853095865,0.003848451000647491
0.04018812532683276,8.406516145727027e-05,31.78495058862231,41.78495058862231,0.4598118823577788,0.008393722825700507,-0.008576547944300145
0.04775428803225926,6.630643353742814e-05,31.179657346282482,41.17965734628248,0.45224571682853104,0.02041510797135223,-0.020561723917745203
0.054976137884663476,-3.6981353869116956e-05,30.601909092152518,40.60190909215252,0.44502386365190644,0.02383354017091217,-0.02375044046113884
0.06171614174018817,-0.00018608580512578828,30.062711821104415,40.062711821104415,0.4382838977638052,0.019666833254152187,-0.019242255003237486
0.06826384925575811,-0.0003269367579715293,29.538901962590387,39.53890196259039,0.43173627453237984,0.015051506986042977,-0.014294246573833559
0.07486024958199843,-0.0004373531693058066,29.011198030133578,39.01119803013358,0.42513997537666975,0.009165452619636036,-0.00813672497279756
0.08153273718636217,-0.0005122126562925286,28.47740610344055,38.47740610344055,0.41846757629300685,0.0008941530138292834,0.00032986722862693614
0.08806812114601295,-0.0005382759466778595,37.95457844315251,27.954578443152514,0.4119322305394064,-0.008369395045591602,0.009676105373056574
0.09438355821817704,-0.0005070971335865497,37.449340701222255,27.449340701222255,0.4056167587652782,-0.013373925651392704,0.014624113802460502
0.10049250805162842,-0.00043315812491248655,36.96061814159063,26.960618141590626,0.39950772676988283,-0.007712229562255106,0.008796459430051435
0.10645717184866674,-0.0003632269059498256,26.48343966195663,36.48343966195663,0.3935429957744579,0.005101284617750463,-0.004178318229274412
0.11233966379834237,-0.0003492871313128434,26.01283948462454,36.012839484624536,0.38766049355780674,0.01519525966228937,-0.014294246573833547
0.1180914082055733,-0.0004020310083599356,25.552704272095717,35.55270427209572,0.3819088034011965,0.016996271419170275,-0.01594358271696819
0.12375348002520432,-0.0004876305761235968,25.0997468775242,35.0997468775242,0.3762468359690525,0.01218165791570776,-0.010885618544688625
0.12927136528052943,-0.0005619854882224272,24.658324853965887,34.65832485396589,0.37072906067457356,0.006134034512280611,-0.004618141200776986
0.13460403106096133,-0.0006034967919765739,24.231717385089983,34.23171738508998,0.3653964673136248,0.0007719766651417056,0.0008796459430051515
0.13977192185711798,-0.0006134591276268609,33.818288039603246,23.81828803960325,0.36022860049504063,-0.0037948145777477443,0.005497787143782148
0.14478174192048154,-0.0005975952571466805,33.417500860492424,23.417500860492424,0.3552187607561553,-0.0037055003839182635,0.005387831400906507
0.14973654918233145,-0.0005706265421073956,23.021113250501877,33.02111325050188,0.35026391563127346,0.0066870980026757345,-0.005057964172279555
0.15461576859682885,-0.0005694628666802013,22.63077606900431,32.63077606900431,0.34538470086255385,0.021880635929396392,-0.020231856689118255
0.15935710104790315,-0.0006288983570803101,22.251478359267868,32.251478359267864,0.34064347949084833,0.02845549776816021,-0.026609289775905536
0.16398769596337587,-0.000737237860610677,21.88104902520452,31.88104902520452,0.33601311281505647,0.026824162837475855,-0.024630086404143967
0.16849439768961302,-0.000852805057350538,21.520535939035717,31.520535939035717,0.33150669923794646,0.023464106271804126,-0.020891591146372113
0.17289147933831644,-0.0009529550068906375,21.168792701257914,31.168792701257914,0.32710990876572393,0.018966798894100665,-0.016053538459843832
0.17725459027821772,-0.0010335786522779583,20.819765177096286,30.819765177096286,0.32274706471370357,0.014527888670498031,-0.011325441516191193
0.18157680720095798,-0.0010928325329808478,20.474005448099412,30.474005448099412,0.31842506810124266,0.010029344084523072,-0.006597344572538551
0.18579617615974353,-0.0011308074381342547,20.136468695986846,30.136468695986846,0.3142058586998356,0.0049184147900907535,-0.0013194689145076995
0.18991946956886174,-0.001147201737895456,29.806612205527266,20,0.31008265256909084,-0.0002587339451131975,0.0039584067435231495
0.1940359197040936,-0.0011417158005733266,29.477296837196924,20,0.30596621046496153,-0.005174897080038097,0.008906415172927071
0.19822788197251942,-0.0011146149864819201,29.14193411776079,20,0.3017741764720099,-0.002573928963346545,0.0062674773439116436
0.20241981981954715,-0.001082737825413203,20,28.806571994462953,0.2975821499307869,0.008586466632012867,-0.00494800842940392
0.20652247794707604,-0.0010798384724507444,20,28.478360692545948,0.2934795086568244,0.019293157756475884,-0.01561371548834127
0.21059056758274777,-0.00112166341401984,20,28.15292848185082,0.28941160602313526,0.02322788884174952,-0.019352210746113124
0.21466517216994987,-0.0011929196823581717,20,27.826985718511033,0.2853373214813879,0.020784064197693637,-0.016603317174222056
0.21872600175820883,-0.0012659605253583655,20,27.50214777204699,0.2812768471505874,0.016595910263465123,-0.012095131716320706
0.22272521865540829,-0.0013234430785257231,20,27.18223517989449,0.27727793974868115,0.012249992308444646,-0.0074769905155437095
