x, y, ul, ur, rho, alpha, theta
0.04577832194588545,-0.06981484061025518,22.306344825478767,46.91190499821764,0.4326140613981026,0.10252316738641198,-1.7793359016386565
0.04443989890467738,-0.07591646022294056,25.039198056577526,43.18570124790782,0.42640562065303345,0.07561042996387624,-1.7508161308302868
0.04325501778345206,-0.08193025428755545,27.85696264208832,39.39126935247032,0.42030144996599145,0.04805961129325831,-1.7219527483254304
0.04227006103996114,-0.08781981066079775,28.14735744945206,38.14735744945206,0.41434196811815077,0.02456486959612736,-1.6975563178748971
0.04144612376020676,-0.09371340709607152,27.67160986527393,37.67160986527393,0.40839512331592415,0.006086439636820318,-1.6785431373359838
0.04074819894295899,-0.09963726495919553,37.19448254110119,27.194482541101188,0.4024310317637649,-0.007426593182989771,-1.6647986694765284
0.04015018045895788,-0.10554454206374608,36.719485018426056,26.719485018426052,0.39649356273032565,-0.01613948610267113,-1.6560938398322067
0.039623335295600935,-0.11140347889386744,36.248911908428326,26.24891190842833,0.3906113988553541,-0.014254864755297136,-1.658155510011125
0.0391292768106954,-0.11711358496105226,35.79045120813715,25.79045120813715,0.38488064010171436,-0.0027999792773258925,-1.669838307691662
0.03861087470615006,-0.12266270950433658,25.34460536640359,35.34460536640359,0.37930756708004487,0.014596507505521883,-1.6873625042124676
0.03802919141239397,-0.12804648962784285,24.91140339363845,34.91140339363845,0.37389254242048064,0.03369161101751206,-1.706375684751381
0.037372347697822106,-0.1332346087075361,24.3784048617854,34.60792187867576,0.36866454212788224,0.042622987570376525,-1.7149659771635406
0.03667252457579139,-0.13820918099785948,24.03718107972992,34.14597156593583,0.36364470403541094,0.0421199603591913,-1.7139351420740814
0.03598183848862657,-0.14298379054588756,23.705987279479302,33.7059872794793,0.35882484099349127,0.039486064540348975,-1.7107280995735419
0.03531483511760409,-0.1476645970717863,23.32806368091913,33.32806368091913,0.35410079601148914,0.036827636123877516,-1.7075210570730024
0.03467511084760728,-0.15225902548214126,22.957241485774542,32.957241485774546,0.3494655185721818,0.03493264161178655,-1.7051157751975976
0.03405949702657507,-0.156773533001713,22.592979627240485,32.59297962724048,0.3449122453405061,0.03231745109677675,-1.7020232699292202
0.03346264652889819,-0.16124202905924037,22.232534846524274,32.232534846524274,0.3404066855815534,0.029100773137109792,-1.698358078500032
0.0328897327528587,-0.16564436212276146,21.87755073375245,31.87755073375245,0.33596938417190564,0.026531714239815818,-1.6953801104638166
0.03233841201179227,-0.16999404184696654,21.52693186123972,31.52693186123972,0.3315866482654965,0.0234661205946336,-1.6919439934989529
0.03180607075430445,-0.17430453992536005,21.179583966143905,31.179583966143905,0.3272447995767988,0.019906212110498034,-1.6880497276054405
0.03129606367317358,-0.17856236997370026,20.836605795450417,30.836605795450417,0.3229575724431302,0.016531334380063045,-1.6843845361762524
0.030804593523197137,-0.18280162633571073,20.495252105428506,30.495252105428506,0.31869065131785634,0.01276839297621879,-1.680375733050578
0.030336882409644238,-0.18697442276707932,20.15937531006234,30.15937531006234,0.3144921913757793,0.008270079245383144,-1.6756797065319307
0.029894140035877946,-0.19108773720755853,20,29.82842831427312,0.31035535392841396,0.0029137258874440963,-1.6701819193881484
0.029471617367268638,-0.19521008180081753,29.49691839769004,20,0.3062114799711255,-0.0028509797845603924,-1.6643405205478798
0.029078289640179864,-0.1992731777094477,29.17035123595804,20,0.3021293904494755,-0.006743772218628985,-1.6604462546543675
