x, y, ul, ur, rho, alpha, theta
0.0,0.0,-31.41592653589793,31.41592653589793,0.7071067811865476,0.7853981633974483,0.0
-4.8105637508093706e-05,0.0,-31.380537611650755,31.380537611650755,0.7071407978271799,0.7845134402912689,0.0008366197827494557
-0.0006872231861384372,-4.944523720465641e-07,-30.40365526748433,30.40365526748433,0.7075932376121626,0.7600913816871082,0.02462052503519827
-0.0014980799344782923,-6.4026939995440735e-06,-28.08636094415068,28.08636094415068,0.7081713965650988,0.702159023603767,0.08174970448580396
-0.0019439511139073137,-3.033534226099938e-05,-25.416264759307783,25.416264759307783,0.7085041046615994,0.6354066189826946,0.14808170154665368
-0.0025234226879521965,-0.00010157892307904286,-22.85749508424327,22.85749508424327,0.7089650059004119,0.5714373771060817,0.21154528792379096
-0.003360638472608558,-0.0002581974675946166,-20.583543540044115,20.583543540044115,0.7096690753422182,0.5145885885011029,0.26771833047982585
-0.004082996296770491,-0.0004275365536762063,-18.83102435175288,18.83102435175288,0.7103009126396438,0.47077560879382196,0.3109835249591548
-0.004517861388435172,-0.0005560679210283152,-18,18,0.7107001122783938,0.4367690402320653,0.34468735049277577
-0.004953455837365057,-0.0007050733741481072,-18,18,0.7111143108282303,0.4064875648372469,0.37468614555993485
-0.0054038225054724,-0.0008739911349539278,-18,18,0.7115530751803417,0.3780044385096073,0.40289218394977366
-0.005747634128430204,-0.0010135734064959643,-18,18,0.7118955472287004,0.35246611868483835,0.4282298116559
-0.006011681134082139,-0.0011300864675993236,-18,18,0.7121651388597757,0.3284179886625174,0.4521332340201702
-0.006297508866844714,-0.0012650751368156966,-18,18,0.7124632222344464,0.30221557934769505,0.47818796439722466
-0.006567977340520588,-0.0014002202770813448,-18,18,0.7127505149494962,0.27316019798699176,0.5071111054579915
-0.006780021443422386,-0.001513706389814786,-18,18,0.712981057133389,0.24354338187420466,0.5366318320778652
-0.007017889188029721,-0.0016514281796803467,-18,18,0.7132470086522608,0.21356676624687287,0.566511110033203
-0.007327799659515966,-0.0018427093397577314,-18,18,0.7136018506315931,0.1829749970271135,0.5969879735476474
-0.0076209986770377075,-0.0020346607313201453,-18,18,0.713945291232798,0.15144433188722373,0.6284209739566627
-0.007868342512296058,-0.0022085315926366166,-18,18,0.7142434196621058,0.11814814429663378,0.6616467310429983
-0.008164154095497901,-0.0024325282118721567,-18,18,0.7146112599959271,0.08342000421668772,0.69630669347119
-0.008490562392852999,-0.0026954709338781937,-18,18,0.7150282431764731,0.04738589753432776,0.7322813441294166
-0.008750786022939178,-0.00291978197184384,-18,18,0.7153710012137515,0.011498011590060253,0.7681364776758218
-0.008976728812604026,-0.003130862873125334,60,52.254406329545525,0.7156800791193191,-0.024010765557024638,0.803633059886763
-0.008222442087047279,-0.002340120311680081,60,52.16701970140058,0.7145877462675072,-0.05285929350102925,0.8324366838357086
-0.0049442566670219335,0.001208129480235512,60,51.78095638152591,0.7097619547690739,-0.05424358329300916,0.8335123378421008
0.00042248145481069404,0.007112126129853583,60,51.14359607970989,0.7017949509963736,-0.030831564070007644,0.8094893983660092
